cust_id,tran_id,tran_dt,store_id,prod_id,prod_unit,tran_prod_sale_amt,tran_prod_sale_qty,tran_prod_discount_amt,tran_prod_offer_cts,tran_prod_paid_amt,prod_unit_price
69559881,2.01604E+18,2016-04-22,996,138936952,CT,3.99,1,0.5,1,3.49,3.99
70869780,2.01604E+18,2016-04-27,996,138936952,CT,19.95,5,2.5,1,17.45,3.99
939843,2.01604E+18,2016-04-30,996,138936951,CT,6.21,9,0.9,1,5.31,0.69
47339927,2.01605E+18,2016-05-02,996,138936952,CT,7.98,2,1,1,6.98,3.99
31469834,2.01605E+18,2016-05-03,996,138936951,CT,2.07,3,0.3,1,1.77,0.69
69559881,2.01606E+18,2016-06-06,996,138936951,CT,4.14,6,1.2,1,2.94,0.69
66439704,2.01606E+18,2016-06-07,996,138936953,CT,44.97,3,15,1,29.97,14.99
68959870,2.01606E+18,2016-06-09,996,138936953,CT,29.98,2,10,1,19.98,14.99
92549927,2.01606E+18,2016-06-18,996,138936952,CT,11.97,3,0,0,11.97,3.99
48929881,2.01606E+18,2016-06-30,996,138936951,CT,1.38,2,0,0,1.38,0.69
68959870,2.01607E+18,2016-07-12,996,138936951,CT,4.83,7,0,0,4.83,0.69
71149834,2.01607E+18,2016-07-30,996,138936952,CT,7.98,2,1,1,6.98,3.99
77649704,2.01608E+18,2016-08-06,996,138936951,CT,1.38,2,0,0,1.38,0.69
53259927,2.01608E+18,2016-08-07,996,138936952,CT,19.95,5,2.5,1,17.45,3.99
69559881,2.01608E+18,2016-08-24,996,138936952,CT,17.16,4,0,0,17.16,4.29
31469834,2.01608E+18,2016-08-28,996,138936951,CT,1.5,2,0,0,1.5,0.75
31259704,2.01608E+18,2016-08-29,996,138936951,CT,0.75,1,0,0,0.75,0.75
1079927,2.01609E+18,2016-09-15,996,138936952,CT,4.29,1,0,0,4.29,4.29
77649704,2.0161E+18,2016-10-07,996,138936952,CT,12.87,3,3,1,9.87,4.29
70549834,2.0161E+18,2016-10-11,996,138936951,CT,0.75,1,0,0,0.75,0.75
17269835,2.0161E+18,2016-10-18,996,138936951,CT,4.5,6,0,0,4.5,0.75
31469834,2.0161E+18,2016-10-27,996,138936952,CT,4.29,1,0,0,4.29,4.29
85119803,2.01611E+18,2016-11-09,996,138936951,CT,1.5,2,0,0,1.5,0.75
98459704,2.01611E+18,2016-11-17,996,138936951,CT,2.25,3,0,0,2.25,0.75
939843,2.01611E+18,2016-11-23,996,138936952,CT,8.58,2,0,0,8.58,4.29
93059555,2.01611E+18,2016-11-24,996,138936952,CT,8.58,2,0,0,8.58,4.29
70339834,2.01611E+18,2016-11-29,996,138936951,CT,2.25,3,0.3,1,1.95,0.75
17269835,2.01612E+18,2016-12-05,996,138936951,CT,6.75,9,0,0,6.75,0.75
33979834,2.01612E+18,2016-12-07,996,138936952,CT,8.58,2,0,0,8.58,4.29
68959870,2.01612E+18,2016-12-11,996,138936952,CT,21.45,5,0,0,21.45,4.29
48929881,2.01612E+18,2016-12-28,996,138936951,CT,3.75,5,0.5,1,3.25,0.75
70189834,2.01701E+18,2017-01-17,996,138936951,CT,4.5,6,0,0,4.5,0.75
31259704,2.01701E+18,2017-01-21,996,138936952,CT,8.58,2,0,0,8.58,4.29
29329834,2.01701E+18,2017-01-28,996,138936952,CT,17.16,4,0,0,17.16,4.29
32209834,2.01701E+18,2017-01-31,996,138936951,CT,0.75,1,0.05,1,0.7,0.75
36919834,2.01702E+18,2017-02-04,996,138936952,CT,21.45,5,2.5,1,18.95,4.29
32209834,2.01702E+18,2017-02-14,996,138936952,CT,4.29,1,0,0,4.29,4.29
93059555,2.01702E+18,2017-02-14,996,138936951,CT,6,8,0,0,6,0.75
31469834,2.01702E+18,2017-02-28,996,138936952,CT,21.45,5,5,1,16.45,4.29
53259927,2.01703E+18,2017-03-05,996,138936952,CT,4.29,1,0,0,4.29,4.29
36559834,2.01704E+18,2017-04-13,996,138936951,CT,3.16,4,0.4,1,2.76,0.79
48929881,2.01704E+18,2017-04-14,996,138936953,CT,50.97,3,6,1,44.97,16.99
75939834,2.01705E+18,2017-05-12,996,138936951,CT,1.58,2,0.4,1,1.18,0.79
32209834,2.01705E+18,2017-05-17,996,138936952,CT,22.95,5,0,0,22.95,4.59
47339927,2.01705E+18,2017-05-18,996,138936951,CT,4.74,6,0,0,4.74,0.79
70869780,2.01705E+18,2017-05-22,996,138936952,CT,4.59,1,0,0,4.59,4.59
62859966,2.01705E+18,2017-05-27,996,138936953,CT,16.99,1,0,0,16.99,16.99
1249927,2.01706E+18,2017-06-17,996,138936951,CT,0.79,1,0.05,1,0.74,0.79
70189834,2.01706E+18,2017-06-29,996,138936952,CT,22.95,5,0,0,22.95,4.59
33979834,2.01707E+18,2017-07-03,996,138936951,CT,2.37,3,0,0,2.37,0.79
36559834,2.01707E+18,2017-07-04,996,138936952,CT,9.18,2,0,0,9.18,4.59
70869780,2.01707E+18,2017-07-06,996,138936952,CT,18.36,4,0,0,18.36,4.59
92549927,2.01707E+18,2017-07-27,996,138936952,CT,13.77,3,0,0,13.77,4.59
59509843,2.01707E+18,2017-07-29,996,138936951,CT,7.11,9,0,0,7.11,0.79
36919834,2.01708E+18,2017-08-15,996,138936952,CT,22.95,5,0,0,22.95,4.59
98459704,2.01708E+18,2017-08-16,996,138936951,CT,2.37,3,0,0,2.37,0.79
80539703,2.01708E+18,2017-08-19,996,138936951,CT,0.79,1,0,0,0.79,0.79
25099966,2.01709E+18,2017-09-05,996,138936951,CT,3.95,5,0.25,1,3.7,0.79
47339927,2.01709E+18,2017-09-18,996,138936951,CT,4.74,6,0,0,4.74,0.79
35939966,2.0171E+18,2017-10-29,996,138936952,CT,17.96,4,0,0,17.96,4.49
70549834,2.01711E+18,2017-11-28,996,138936951,CT,4.74,6,0.6,1,4.14,0.79
48929881,2.01712E+18,2017-12-10,996,138936951,CT,2.37,3,0,0,2.37,0.79
30039834,2.01712E+18,2017-12-28,996,138936952,CT,22.45,5,2.5,1,19.95,4.49
72909835,2.01601E+18,2016-01-29,994,138936951,CT,4.14,6,0,0,4.14,0.69
68689965,2.01601E+18,2016-01-30,994,138936952,CT,19.95,5,0,0,19.95,3.99
83199926,2.01602E+18,2016-02-02,994,138936951,CT,2.07,3,0,0,2.07,0.69
79779843,2.01602E+18,2016-02-15,994,138936952,CT,7.98,2,0,0,7.98,3.99
8449843,2.01602E+18,2016-02-24,994,138936952,CT,11.97,3,0,0,11.97,3.99
22719922,2.01602E+18,2016-02-24,994,138936952,CT,7.98,2,0,0,7.98,3.99
65139834,2.01603E+18,2016-03-13,994,138936952,CT,15.96,4,0,0,15.96,3.99
97469953,2.01603E+18,2016-03-26,994,138936952,CT,19.95,5,2.5,1,17.45,3.99
94579870,2.01604E+18,2016-04-19,994,138936951,CT,4.14,6,0.6,1,3.54,0.69
94579870,2.01604E+18,2016-04-30,994,138936952,CT,15.96,4,2,1,13.96,3.99
60039707,2.01605E+18,2016-05-03,994,138936951,CT,0.69,1,0.1,1,0.59,0.69
2239835,2.01605E+18,2016-05-05,994,138936953,CT,14.99,1,2,1,12.99,14.99
74519634,2.01605E+18,2016-05-20,994,138936951,CT,4.83,7,0,0,4.83,0.69
70329843,2.01605E+18,2016-05-27,994,138936951,CT,1.38,2,0,0,1.38,0.69
61499780,2.01606E+18,2016-06-01,994,138936952,CT,11.97,3,0,0,11.97,3.99
97469953,2.01606E+18,2016-06-09,994,138936951,CT,4.14,6,1.2,1,2.94,0.69
8449843,2.01606E+18,2016-06-24,994,138936953,CT,44.97,3,0,0,44.97,14.99
76119926,2.01606E+18,2016-06-24,994,138936952,CT,15.96,4,0,0,15.96,3.99
70329843,2.01606E+18,2016-06-27,994,138936952,CT,19.95,5,0,0,19.95,3.99
4779570,2.01606E+18,2016-06-29,994,138936952,CT,19.95,5,0,0,19.95,3.99
88419779,2.01607E+18,2016-07-08,994,138936952,CT,3.99,1,0.5,1,3.49,3.99
4779570,2.01607E+18,2016-07-12,994,138936951,CT,0.69,1,0,0,0.69,0.69
35939966,2.01607E+18,2016-07-29,994,138936951,CT,3.45,5,0.25,1,3.2,0.69
61499780,2.01608E+18,2016-08-09,994,138936953,CT,44.97,3,6,1,38.97,14.99
97309834,2.01608E+18,2016-08-19,994,138936951,CT,2.25,3,0,0,2.25,0.75
2239835,2.01608E+18,2016-08-27,994,138936952,CT,12.87,3,0,0,12.87,4.29
2569835,2.01609E+18,2016-09-02,994,138936951,CT,2.25,3,0,0,2.25,0.75
50479834,2.01609E+18,2016-09-06,994,138936952,CT,4.29,1,0,0,4.29,4.29
13559834,2.01609E+18,2016-09-10,994,138936951,CT,3,4,0,0,3,0.75
60039707,2.0161E+18,2016-10-07,994,138936953,CT,31.98,2,10,1,21.98,15.99
2569835,2.0161E+18,2016-10-19,994,138936952,CT,21.45,5,0,0,21.45,4.29
76109834,2.0161E+18,2016-10-25,994,138936951,CT,2.25,3,0,0,2.25,0.75
88419779,2.01611E+18,2016-11-14,994,138936951,CT,6,8,0,0,6,0.75
76519834,2.01612E+18,2016-12-09,994,138936952,CT,21.45,5,0,0,21.45,4.29
79779843,2.01612E+18,2016-12-16,994,138936951,CT,5.25,7,0,0,5.25,0.75
50619780,2.01612E+18,2016-12-23,994,138936951,CT,5.25,7,0.7,1,4.55,0.75
97309834,2.01612E+18,2016-12-24,994,138936952,CT,21.45,5,2.5,1,18.95,4.29
8449843,2.01701E+18,2017-01-12,994,138936952,CT,17.16,4,0,0,17.16,4.29
60179870,2.01702E+18,2017-02-06,994,138936951,CT,2.25,3,0,0,2.25,0.75
38269966,2.01702E+18,2017-02-16,994,138936952,CT,21.45,5,0,0,21.45,4.29
34189966,2.01702E+18,2017-02-22,994,138936952,CT,8.58,2,0,0,8.58,4.29
8449843,2.01703E+18,2017-03-06,994,138936952,CT,12.87,3,0,0,12.87,4.29
88419779,2.01703E+18,2017-03-29,994,138936951,CT,0.75,1,0,0,0.75,0.75
48249965,2.01704E+18,2017-04-01,994,138936952,CT,4.29,1,0,0,4.29,4.29
22719922,2.01704E+18,2017-04-19,994,138936952,CT,18.36,4,0,0,18.36,4.59
8449843,2.01705E+18,2017-05-05,994,138936952,CT,18.36,4,2,1,16.36,4.59
72389843,2.01705E+18,2017-05-17,994,138936951,CT,7.11,9,0,0,7.11,0.79
50619780,2.01706E+18,2017-06-06,994,138936951,CT,0.79,1,0.2,1,0.59,0.79
83889926,2.01706E+18,2017-06-06,994,138936953,CT,16.99,1,5,1,11.99,16.99
41599708,2.01706E+18,2017-06-17,994,138936952,CT,9.18,2,1,1,8.18,4.59
76119926,2.01706E+18,2017-06-17,994,138936952,CT,22.95,5,2.5,1,20.45,4.59
36659834,2.01706E+18,2017-06-20,994,138936951,CT,0.79,1,0,0,0.79,0.79
68019634,2.01706E+18,2017-06-22,994,138936952,CT,18.36,4,0,0,18.36,4.59
41269966,2.01706E+18,2017-06-26,994,138936951,CT,1.58,2,0,0,1.58,0.79
50619780,2.01706E+18,2017-06-26,994,138936952,CT,4.59,1,0,0,4.59,4.59
29759870,2.01707E+18,2017-07-10,994,138936952,CT,4.59,1,0.5,1,4.09,4.59
86869834,2.01708E+18,2017-08-30,994,138936951,CT,0.79,1,0,0,0.79,0.79
83889926,2.01709E+18,2017-09-05,994,138936951,CT,7.11,9,0.45,1,6.66,0.79
2569835,2.01709E+18,2017-09-06,994,138936953,CT,50.97,3,3,1,47.97,16.99
1839834,2.01709E+18,2017-09-11,994,138936953,CT,33.98,2,0,0,33.98,16.99
1639780,2.01709E+18,2017-09-25,994,138936952,CT,4.59,1,0,0,4.59,4.59
8449843,2.0171E+18,2017-10-06,994,138936952,CT,18.36,4,4,1,14.36,4.59
73239634,2.01712E+18,2017-12-07,994,138936951,CT,4.74,6,0,0,4.74,0.79
27289843,2.01712E+18,2017-12-14,994,138936951,CT,5.53,7,0,0,5.53,0.79
35019965,2.01602E+18,2016-02-10,993,138936951,CT,2.76,4,0.4,1,2.36,0.69
94739777,2.01603E+18,2016-03-28,993,138936953,CT,29.98,2,0,0,29.98,14.99
64859710,2.01611E+18,2016-11-09,993,138936951,CT,4.5,6,0,0,4.5,0.75
97699707,2.01707E+18,2017-07-23,993,138936952,CT,4.59,1,0,0,4.59,4.59
80739634,2.01708E+18,2017-08-20,993,138936952,CT,13.77,3,0,0,13.77,4.59
97699707,2.01709E+18,2017-09-13,993,138936951,CT,7.11,9,0,0,7.11,0.79
69649953,2.01711E+18,2017-11-12,993,138936951,CT,6.32,8,0,0,6.32,0.79
22189705,2.01601E+18,2016-01-06,992,138936951,CT,4.83,7,0,0,4.83,0.69
33489870,2.01601E+18,2016-01-07,992,138936951,CT,2.07,3,0,0,2.07,0.69
40769835,2.01601E+18,2016-01-08,992,138936952,CT,3.99,1,0,0,3.99,3.99
59909834,2.01602E+18,2016-02-06,992,138936952,CT,19.95,5,0,0,19.95,3.99
10989870,2.01602E+18,2016-02-12,992,138936951,CT,4.83,7,0.7,1,4.13,0.69
69179948,2.01603E+18,2016-03-04,992,138936951,CT,4.14,6,0,0,4.14,0.69
59909834,2.01603E+18,2016-03-07,992,138936951,CT,4.14,6,0,0,4.14,0.69
46649835,2.01603E+18,2016-03-10,992,138936951,CT,2.07,3,0,0,2.07,0.69
6639834,2.01605E+18,2016-05-09,992,138936953,CT,44.97,3,0,0,44.97,14.99
33489870,2.01605E+18,2016-05-13,992,138936951,CT,2.76,4,0,0,2.76,0.69
40769835,2.01606E+18,2016-06-19,992,138936952,CT,3.99,1,0,0,3.99,3.99
4809965,2.01606E+18,2016-06-28,992,138936952,CT,15.96,4,0,0,15.96,3.99
22189705,2.01607E+18,2016-07-11,992,138936951,CT,2.07,3,0,0,2.07,0.69
70079843,2.01607E+18,2016-07-21,992,138936953,CT,14.99,1,0,0,14.99,14.99
85549965,2.01607E+18,2016-07-28,992,138936953,CT,29.98,2,2,1,27.98,14.99
9509843,2.01608E+18,2016-08-18,992,138936951,CT,1.5,2,0,0,1.5,0.75
4809965,2.01608E+18,2016-08-21,992,138936952,CT,12.87,3,0,0,12.87,4.29
45649777,2.01609E+18,2016-09-13,992,138936951,CT,4.5,6,0,0,4.5,0.75
82179835,2.01609E+18,2016-09-30,992,138936951,CT,0.75,1,0,0,0.75,0.75
40769835,2.0161E+18,2016-10-22,992,138936951,CT,4.5,6,0,0,4.5,0.75
59909834,2.01611E+18,2016-11-14,992,138936952,CT,17.16,4,0,0,17.16,4.29
70019570,2.01701E+18,2017-01-25,992,138936951,CT,5.25,7,0,0,5.25,0.75
83199926,2.01702E+18,2017-02-01,992,138936951,CT,0.75,1,0.05,1,0.7,0.75
40769835,2.01702E+18,2017-02-09,992,138936951,CT,6,8,0,0,6,0.75
70079843,2.01702E+18,2017-02-11,992,138936951,CT,3,4,0,0,3,0.75
6639834,2.01703E+18,2017-03-03,992,138936951,CT,6,8,1.6,1,4.4,0.75
87809870,2.01703E+18,2017-03-08,992,138936952,CT,8.58,2,0,0,8.58,4.29
4809965,2.01704E+18,2017-04-24,992,138936952,CT,18.36,4,2,1,16.36,4.59
4809965,2.01705E+18,2017-05-17,992,138936951,CT,3.95,5,0,0,3.95,0.79
59909834,2.01706E+18,2017-06-10,992,138936952,CT,9.18,2,2,1,7.18,4.59
60009870,2.01706E+18,2017-06-14,992,138936952,CT,22.95,5,2.5,1,20.45,4.59
69179948,2.01706E+18,2017-06-18,992,138936952,CT,9.18,2,0,0,9.18,4.59
23389705,2.01707E+18,2017-07-15,992,138936952,CT,9.18,2,1,1,8.18,4.59
69179948,2.01707E+18,2017-07-22,992,138936951,CT,5.53,7,0,0,5.53,0.79
99829870,2.01707E+18,2017-07-30,992,138936952,CT,9.18,2,0,0,9.18,4.59
10989870,2.01708E+18,2017-08-25,992,138936951,CT,3.16,4,0,0,3.16,0.79
40769835,2.01708E+18,2017-08-28,992,138936951,CT,7.11,9,0,0,7.11,0.79
45649777,2.01708E+18,2017-08-28,992,138936951,CT,5.53,7,0,0,5.53,0.79
40769835,2.01709E+18,2017-09-10,992,138936951,CT,0.79,1,0,0,0.79,0.79
73639835,2.01709E+18,2017-09-18,992,138936952,CT,4.59,1,0,0,4.59,4.59
45649777,2.01709E+18,2017-09-27,992,138936953,CT,16.99,1,0,0,16.99,16.99
4809965,2.0171E+18,2017-10-04,992,138936953,CT,50.97,3,15,1,35.97,16.99
6639834,2.0171E+18,2017-10-27,992,138936952,CT,17.96,4,0,0,17.96,4.49
70019570,2.01711E+18,2017-11-15,992,138936951,CT,2.37,3,0,0,2.37,0.79
69179948,2.01711E+18,2017-11-21,992,138936951,CT,4.74,6,0,0,4.74,0.79
59509843,2.01712E+18,2017-12-05,992,138936951,CT,5.53,7,0,0,5.53,0.79
98799926,2.01712E+18,2017-12-29,992,138936951,CT,1.58,2,0.2,1,1.38,0.79
56839870,2.01602E+18,2016-02-24,989,138936951,CT,2.07,3,0,0,2.07,0.69
10329832,2.01603E+18,2016-03-02,989,138936951,CT,2.07,3,0,0,2.07,0.69
10329832,2.01603E+18,2016-03-05,989,138936952,CT,11.97,3,0,0,11.97,3.99
75539779,2.01603E+18,2016-03-15,989,138936951,CT,3.45,5,0,0,3.45,0.69
10329832,2.01603E+18,2016-03-30,989,138936952,CT,3.99,1,0,0,3.99,3.99
68549780,2.01605E+18,2016-05-05,989,138936952,CT,15.96,4,2,1,13.96,3.99
35599792,2.01605E+18,2016-05-10,989,138936951,CT,1.38,2,0,0,1.38,0.69
71189777,2.01605E+18,2016-05-19,989,138936951,CT,1.38,2,0,0,1.38,0.69
13559834,2.01606E+18,2016-06-04,989,138936953,CT,44.97,3,0,0,44.97,14.99
75529965,2.01606E+18,2016-06-08,989,138936952,CT,15.96,4,4,1,11.96,3.99
14239708,2.01606E+18,2016-06-22,989,138936953,CT,14.99,1,0,0,14.99,14.99
51999870,2.01606E+18,2016-06-30,989,138936952,CT,3.99,1,0,0,3.99,3.99
31289780,2.01607E+18,2016-07-16,989,138936953,CT,14.99,1,0,0,14.99,14.99
35599792,2.01608E+18,2016-08-14,989,138936953,CT,15.99,1,0,0,15.99,15.99
65039570,2.01608E+18,2016-08-24,989,138936953,CT,47.97,3,0,0,47.97,15.99
59749870,2.01609E+18,2016-09-07,989,138936952,CT,12.87,3,0,0,12.87,4.29
69329634,2.01609E+18,2016-09-08,989,138936951,CT,3.75,5,0,0,3.75,0.75
10359835,2.01609E+18,2016-09-09,989,138936951,CT,6.75,9,0,0,6.75,0.75
14239708,2.01609E+18,2016-09-17,989,138936953,CT,15.99,1,0,0,15.99,15.99
10359835,2.01609E+18,2016-09-23,989,138936951,CT,6.75,9,0,0,6.75,0.75
11769780,2.01609E+18,2016-09-23,989,138936952,CT,4.29,1,0,0,4.29,4.29
68549780,2.0161E+18,2016-10-20,989,138936951,CT,3,4,0,0,3,0.75
59749870,2.0161E+18,2016-10-25,989,138936951,CT,1.5,2,0,0,1.5,0.75
69329634,2.01611E+18,2016-11-16,989,138936951,CT,1.5,2,0,0,1.5,0.75
51799870,2.01611E+18,2016-11-23,989,138936952,CT,8.58,2,0,0,8.58,4.29
10329832,2.01611E+18,2016-11-24,989,138936951,CT,6,8,0,0,6,0.75
29759870,2.01611E+18,2016-11-25,989,138936952,CT,17.16,4,0,0,17.16,4.29
52499843,2.01611E+18,2016-11-26,989,138936951,CT,3.75,5,0,0,3.75,0.75
66049570,2.01612E+18,2016-12-02,989,138936951,CT,3,4,0.4,1,2.6,0.75
10119835,2.01612E+18,2016-12-26,989,138936952,CT,8.58,2,1,1,7.58,4.29
51999870,2.01701E+18,2017-01-05,989,138936951,CT,3.75,5,0.5,1,3.25,0.75
71189777,2.01704E+18,2017-04-16,989,138936952,CT,22.95,5,0,0,22.95,4.59
10119835,2.01704E+18,2017-04-29,989,138936952,CT,4.59,1,0.5,1,4.09,4.59
11769780,2.01705E+18,2017-05-01,989,138936952,CT,18.36,4,2,1,16.36,4.59
22869555,2.01705E+18,2017-05-01,989,138936952,CT,13.77,3,1.5,1,12.27,4.59
56629870,2.01705E+18,2017-05-15,989,138936952,CT,22.95,5,0,0,22.95,4.59
56629870,2.01705E+18,2017-05-22,989,138936951,CT,3.16,4,0,0,3.16,0.79
75529965,2.01707E+18,2017-07-14,989,138936951,CT,3.16,4,0.2,1,2.96,0.79
96829926,2.01709E+18,2017-09-01,989,138936952,CT,4.59,1,0,0,4.59,4.59
75529965,2.01709E+18,2017-09-04,989,138936952,CT,9.18,2,0,0,9.18,4.59
80429707,2.01709E+18,2017-09-05,989,138936951,CT,2.37,3,0.15,1,2.22,0.79
6759926,2.01709E+18,2017-09-06,989,138936952,CT,9.18,2,0,0,9.18,4.59
37059708,2.0171E+18,2017-10-03,989,138936952,CT,9.18,2,2,1,7.18,4.59
19489870,2.0171E+18,2017-10-14,989,138936951,CT,3.95,5,0,0,3.95,0.79
10329832,2.01711E+18,2017-11-24,989,138936951,CT,4.74,6,0,0,4.74,0.79
21759843,2.01711E+18,2017-11-29,989,138936951,CT,3.95,5,0.5,1,3.45,0.79
14669832,2.01601E+18,2016-01-18,988,138936952,CT,3.99,1,0,0,3.99,3.99
37489965,2.01601E+18,2016-01-26,988,138936952,CT,11.97,3,0,0,11.97,3.99
36429965,2.01602E+18,2016-02-01,988,138936952,CT,11.97,3,0,0,11.97,3.99
16239779,2.01602E+18,2016-02-25,988,138936952,CT,3.99,1,0,0,3.99,3.99
94969870,2.01602E+18,2016-02-28,988,138936951,CT,2.76,4,0,0,2.76,0.69
23049704,2.01603E+18,2016-03-26,988,138936951,CT,6.21,9,0.45,1,5.76,0.69
91989926,2.01604E+18,2016-04-13,988,138936952,CT,7.98,2,0,0,7.98,3.99
5959780,2.01604E+18,2016-04-23,988,138936951,CT,2.76,4,0.4,1,2.36,0.69
65139834,2.01605E+18,2016-05-28,988,138936952,CT,11.97,3,0,0,11.97,3.99
95059779,2.01606E+18,2016-06-17,988,138936952,CT,7.98,2,0,0,7.98,3.99
36369965,2.01606E+18,2016-06-23,988,138936951,CT,2.07,3,0,0,2.07,0.69
87299835,2.01607E+18,2016-07-04,988,138936952,CT,19.95,5,2.5,1,17.45,3.99
67649965,2.01607E+18,2016-07-11,988,138936951,CT,1.38,2,0,0,1.38,0.69
90189703,2.01607E+18,2016-07-23,988,138936951,CT,4.14,6,0,0,4.14,0.69
62719926,2.01608E+18,2016-08-12,988,138936953,CT,14.99,1,2,1,12.99,14.99
3349780,2.01609E+18,2016-09-12,988,138936953,CT,31.98,2,0,0,31.98,15.99
51199835,2.01609E+18,2016-09-28,988,138936952,CT,8.58,2,0,0,8.58,4.29
37489965,2.0161E+18,2016-10-03,988,138936951,CT,4.5,6,1.2,1,3.3,0.75
14669832,2.0161E+18,2016-10-09,988,138936952,CT,4.29,1,0,0,4.29,4.29
14669832,2.0161E+18,2016-10-23,988,138936951,CT,5.25,7,0,0,5.25,0.75
29159926,2.0161E+18,2016-10-29,988,138936951,CT,1.5,2,0,0,1.5,0.75
14669832,2.01611E+18,2016-11-01,988,138936951,CT,0.75,1,0.05,1,0.7,0.75
4079779,2.01611E+18,2016-11-04,988,138936951,CT,1.5,2,0.1,1,1.4,0.75
62719926,2.01702E+18,2017-02-17,988,138936951,CT,6.75,9,0,0,6.75,0.75
49579835,2.01703E+18,2017-03-13,988,138936952,CT,12.87,3,0,0,12.87,4.29
5959780,2.01704E+18,2017-04-03,988,138936952,CT,13.77,3,0,0,13.77,4.59
51199835,2.01705E+18,2017-05-11,988,138936951,CT,7.11,9,1.8,1,5.31,0.79
3349780,2.01706E+18,2017-06-07,988,138936951,CT,6.32,8,1.6,1,4.72,0.79
37489965,2.01707E+18,2017-07-01,988,138936951,CT,3.95,5,0,0,3.95,0.79
97469953,2.01707E+18,2017-07-11,988,138936952,CT,4.59,1,0.5,1,4.09,4.59
8069572,2.01707E+18,2017-07-16,988,138936953,CT,16.99,1,0,0,16.99,16.99
5959780,2.01708E+18,2017-08-05,988,138936951,CT,2.37,3,0,0,2.37,0.79
7289711,2.01708E+18,2017-08-06,988,138936951,CT,0.79,1,0,0,0.79,0.79
81369704,2.01709E+18,2017-09-09,988,138936951,CT,3.16,4,0.2,1,2.96,0.79
67229965,2.01709E+18,2017-09-24,988,138936951,CT,7.11,9,0,0,7.11,0.79
87299835,2.0171E+18,2017-10-10,988,138936951,CT,2.37,3,0,0,2.37,0.79
5959780,2.0171E+18,2017-10-22,988,138936951,CT,2.37,3,0,0,2.37,0.79
7869780,2.01711E+18,2017-11-21,988,138936952,CT,4.49,1,0,0,4.49,4.49
1839834,2.01711E+18,2017-11-26,988,138936952,CT,8.98,2,1,1,7.98,4.49
95059779,2.01712E+18,2017-12-08,988,138936952,CT,13.47,3,0,0,13.47,4.49
67229965,2.01712E+18,2017-12-09,988,138936951,CT,0.79,1,0,0,0.79,0.79
51199835,2.01712E+18,2017-12-10,988,138936952,CT,8.98,2,0,0,8.98,4.49
45109834,2.01601E+18,2016-01-05,987,138936952,CT,3.99,1,0,0,3.99,3.99
79899777,2.01602E+18,2016-02-01,987,138936951,CT,0.69,1,0,0,0.69,0.69
81179966,2.01604E+18,2016-04-12,987,138936952,CT,19.95,5,0,0,19.95,3.99
30919926,2.01606E+18,2016-06-22,987,138936952,CT,19.95,5,0,0,19.95,3.99
